Country,Year,Feature,SHAP_Value
MNE,2025,Ecosystems,0.0015293112592055385
MNE,2026,Ecosystems,0.001544793877108361
MNE,2027,Ecosystems,0.0015420027871291847
MNE,2028,Ecosystems,0.001554525386784361
MNE,2029,Ecosystems,0.0014928131776119947
MNE,2030,Ecosystems,0.0014763537497606508
MNE,2031,Ecosystems,0.0014714698181474968
MNE,2032,Ecosystems,0.0014600191718675284
MNE,2033,Ecosystems,0.0014521464612761857
MNE,2034,Ecosystems,0.001452835364056167
MNE,2035,Ecosystems,0.0014611228824141387
MNE,2036,Ecosystems,0.001471553368686678
MNE,2037,Ecosystems,0.0014603980827920526
MNE,2038,Ecosystems,0.0014467418924371993
MNE,2039,Ecosystems,0.0014459224802963063
MNE,2040,Ecosystems,0.0014521145659734266
MNG,1995,Ecosystems,0.001860298074273013
MNG,1996,Ecosystems,0.00173015148762329
MNG,1997,Ecosystems,0.001648205350581944
MNG,1998,Ecosystems,0.0015814500719501922
MNG,1999,Ecosystems,0.0004934464630583483
MNG,2000,Ecosystems,0.00047980978224275927
MNG,2001,Ecosystems,0.0004704322049161061
MNG,2002,Ecosystems,0.0006909875489185222
MNG,2003,Ecosystems,0.0002273284870744171
MNG,2004,Ecosystems,-0.000394556605434539
MNG,2005,Ecosystems,-3.299784739547627e-05
MNG,2006,Ecosystems,8.851123608003334e-05
MNG,2007,Ecosystems,9.412032695324307e-05
MNG,2008,Ecosystems,0.00011414401352452367
MNG,2009,Ecosystems,2.536990592265408e-05
MNG,2010,Ecosystems,2.6378428915596695e-05
MNG,2011,Ecosystems,2.6365153118573792e-05
MNG,2012,Ecosystems,-9.979839107246717e-05
MNG,2013,Ecosystems,-0.001389838871416858
MNG,2014,Ecosystems,-0.001435764610816168
MNG,2015,Ecosystems,-0.0014993761646656676
MNG,2016,Ecosystems,-0.0010211130147005027
MNG,2017,Ecosystems,-0.0011910259232352164
MNG,2018,Ecosystems,-0.0026457692992726614
MNG,2019,Ecosystems,-0.0028796020186510826
MNG,2020,Ecosystems,-0.0028669119357454128
MNG,2021,Ecosystems,-0.002816864040289414
MNG,2022,Ecosystems,-0.002855064689931198
MNG,2023,Ecosystems,-0.0028383921326900485
MNG,2024,Ecosystems,-0.0019929481854846914
MNG,2025,Ecosystems,-0.0008819455564042028
MNG,2026,Ecosystems,-0.0007852624075989657
MNG,2027,Ecosystems,-0.0006492397918333651
MNG,2028,Ecosystems,-0.0006646830530514443
MNG,2029,Ecosystems,-0.0006460107302053863
MNG,2030,Ecosystems,-0.0006502291955200514
MNG,2031,Ecosystems,-0.0006380320729003852
MNG,2032,Ecosystems,-0.0004888021218274768
MNG,2033,Ecosystems,-0.000494646555283473
MNG,2034,Ecosystems,-0.0004990147069149149
MNG,2035,Ecosystems,-0.00047240816294729564
MNG,2036,Ecosystems,0.0003135317441945387
MNG,2037,Ecosystems,-0.0004643152717735006
MNG,2038,Ecosystems,-0.0004901510969961867
MNG,2039,Ecosystems,-0.0011677645337262958
MNG,2040,Ecosystems,-0.0011703335244767897
MOZ,1995,Ecosystems,0.01441205427423278
MOZ,1996,Ecosystems,0.01440028966221997
MOZ,1997,Ecosystems,0.014378230565673243
MOZ,1998,Ecosystems,0.014242914853658806
MOZ,1999,Ecosystems,0.01421361162114355
MOZ,2000,Ecosystems,0.01431144412342647
MOZ,2001,Ecosystems,0.011393071365519817
MOZ,2002,Ecosystems,0.004430884857889598
MOZ,2003,Ecosystems,0.002320871609479951
MOZ,2004,Ecosystems,0.002017173200178731
MOZ,2005,Ecosystems,-0.0002416655496140684
MOZ,2006,Ecosystems,0.001848830927459509
MOZ,2007,Ecosystems,-0.00036361550461917747
MOZ,2008,Ecosystems,0.003164572832128107
MOZ,2009,Ecosystems,4.8536868122995755e-05
MOZ,2010,Ecosystems,0.0032636927574418856
MOZ,2011,Ecosystems,0.002021829357032501
MOZ,2012,Ecosystems,0.0024560397734329957
MOZ,2013,Ecosystems,0.003594069947565545
MOZ,2014,Ecosystems,0.0035023658243304645
MOZ,2015,Ecosystems,0.003406828305170689
MOZ,2016,Ecosystems,0.0033600133628103332
MOZ,2017,Ecosystems,0.00341900241470591
MOZ,2018,Ecosystems,0.0033735793785678522
MOZ,2019,Ecosystems,0.0033815440575617663
MOZ,2020,Ecosystems,0.003263495310328597
MOZ,2021,Ecosystems,0.0032748782828239354
MOZ,2022,Ecosystems,0.0034092345901200706
MOZ,2023,Ecosystems,0.003402189369824714
MOZ,2024,Ecosystems,0.0034009609967845635
MOZ,2025,Ecosystems,0.0034521269823855486
MOZ,2026,Ecosystems,0.003528406419689825
MOZ,2027,Ecosystems,0.003478519898863253
MOZ,2028,Ecosystems,0.003499903437695898
MOZ,2029,Ecosystems,0.0035100954111174382
MOZ,2030,Ecosystems,0.0035237517229395046
MOZ,2031,Ecosystems,0.003559641269303345
MOZ,2032,Ecosystems,0.0035618337012953537
MOZ,2033,Ecosystems,0.0035628429015166323
MOZ,2034,Ecosystems,0.003554758863281054
MOZ,2035,Ecosystems,0.003555791282781634
MOZ,2036,Ecosystems,0.00355788483957923
MOZ,2037,Ecosystems,0.0035476263421748908
MOZ,2038,Ecosystems,0.0035900075315442983
MOZ,2039,Ecosystems,0.0035907749533734537
